x,y,cheb_y
0.100000,0.000000,0.000293
0.200000,0.000000,-0.001774
0.300000,0.000000,0.000225
0.400000,0.000000,0.002868
0.500000,0.000000,0.001931
0.600000,0.000000,-0.003017
0.700000,0.000000,-0.007849
0.800000,0.000000,-0.005377
0.900000,0.000000,0.012164
1.000000,0.000000,0.050623
1.100000,0.100000,0.112164
1.200000,0.200000,0.194623
1.300000,0.300000,0.292151
1.400000,0.400000,0.396983
1.500000,0.500000,0.501931
1.600000,0.600000,0.602868
1.700000,0.700000,0.700225
1.800000,0.800000,0.798226
1.900000,0.900000,0.900293
2.000000,1.000000,0.998788
